index,username,tweet,timestamp
0,b'SFBARTalert ',b'Major delay system wide due to an earlier disabled train between WOAK and EMBR.',30/5/17 7:22
1,b'jkurnia ',b'Implement one cop per car at rush hours',6/6/17 8:02
2,b'SFBARTalert ',"b'BART recovering: 10 min delay at 12TH in SFO, MLBR and DALY dirs due to police activity.'",6/6/17 7:53
3,b'~e ',"b'.@SFBARTalert On a Warm Springs train at DC & go 3/4 of the way to Colma before heading east. No problem raising fares, tho #SuckAssServive'",6/6/17 7:33
4,b'ruby_arizona ',"b""What's wrong w/this picture? @SFBARTalert @SFBART Powell Station LED screens not working. East Bay-bound side""",5/6/17 18:03
5,b'SFBARTalert ',"b'BART recovering: 10 min delay in PITT, DUBL, warm springs and RICH dirs due to equip prob.'",5/6/17 17:13
6,b'SFBARTalert ',b'20 min delay on SF line in East Bay dir due to equip prob.',5/6/17 16:43
7,b'SFBARTalert ',"b'10 min delay at EMBR in SFO, MLBR, DALY and East Bay dirs due to an earlier equipment prob on a train and medical emergency.'",5/6/17 8:10
8,b'Robin Winston\nVerified account\n ',"b'The 3 left lanes are now blocked, backed up into the Maze. 55 min and growing into SF take #BART @SFBARTalert @kron4news'",5/6/17 7:22
9,b'SFBARTalert ',b'Major delay at 16TH on SF line in PITT and DUBL dirs due to a medical emergency.',3/6/17 15:33
10,b'Yogii J Mac ',b'The @SecretService really let @SFBARTalert @SFBART #bartpolice @HaywardPD @HaywardPDK9 and @cityofhayward #Homelandsecurity do this to me???',1/6/17 23:58
11,b'Yogii J Mac ',b'The @SecretService really gonna let @SFBARTalert @SFBART #bartpolice @HaywardPD @HaywardPDK9 and @cityofhayward  Homeland security do this??',1/6/17 23:44
12,b'SFBARTalert ',b'Major delay system wide due to equip prob.',1/6/17 17:46
13,b'SFBARTalert ',"b'BART recovering: 10 min delay on SF line in SFO, MLBR and East Bay dirs due to required track maintenance.'",1/6/17 17:12
14,b'Joann Fazio ',"b'@SFBARTalert why is it 90 degrees in this train, turn off the heat!'",1/6/17 11:11
15,b'Sunil ',b'.@SFBART Messed up signs at the Fremont station. Said SFO for Richmond train. Whole lot of SFO bound people going to Richmond! @SFBARTalert',1/6/17 9:27
16,b'Miguel Quesadilla ',b'Every friggin morning we are delayed. Enough excuses and fix the trains',1/6/17 8:03
17,b'SFBARTalert ',"b'10 min delay at WOAK in SFO, MLBR and DALY dirs due to police activity.'",1/6/17 7:47
18,b'MM ',"b'When it rains, it pours. @SFBART delays for most of the week '",1/6/17 6:56
19,b'SFBARTalert ',b'10 min delay on SF line in PITT and warm springs dirs due to equip prob.',31/5/17 18:46
20,b'Yssic ',b'. @SFBART  equip prob',31/5/17 16:01
21,b'SFBARTalert ',b'BART recovering: 10 min delay on SF line in SFO and East Bay dirs due to track maint.',31/5/17 15:31
22,b'SFBARTalert ',"b'BART recovering: 10 min delay system wide due to an earlier disabled train, and medical emergencies.'",30/5/17 10:16
23,b'Alex Nacho 2.0 ',b'*goes to BART early to make it to work earlier... 20 min system wide delay* this is what happens when I forget to check @SFBARTalert ',30/5/17 8:45
24,b'BARTWoes ',b'Top 3 Bay Area job search criteria:\n\n1) Pay\n2) Does not require riding BART\n3) Benefits\n\n@SFBARTalert @sfbart',30/5/17 8:22
25,b'Yankee Girl ',"b'Just now in the Tube. Been on this train for 1.25 hours--my normal commute time. If MUNI is this bad, I may just scream at Embarcadero.'",30/5/17 7:59
26,b'Justine Delgadillo ',b'@SFBART @SFBARTalert just got kicked off our train after 30+ min delay..... ',30/5/17 7:52
27,b'JJ ',"b'why are the delays more constant now? Overcrowded, overpriced and late. Get your act together.'",30/5/17 7:33
28,b'Dan Rogers ',b'Is it worth me even attempting? Or should I just work from home?',30/5/17 7:32
29,b'groovdafied ',"b""No they're moving now""",30/5/17 7:32
30,b'Patricia Jennerjohn ',b'Why are cops and ambulances and the K-9 unit here?',30/5/17 7:22
31,b'Heart Delgado ',b'First day of work your train not working. U said u check all trains how can there be a disabled train . What system do u have?',30/5/17 7:22
32,b'Ryan Ko ',b'I think all of the above might be true!',30/5/17 7:19
33,b'Mike Williams ',b'@SFBARTalert trains overpacked. This starting to become hazardous',30/5/17 7:17
34,b'Andrew Lachowicz ',b'Still waiting one station later',30/5/17 7:13
35,b'groovdafied ',"b'It\'s funny because the announcer says ""15 minutes,"" but it\'s obviously much longer lol'",30/5/17 7:12
36,b'Nick Reshatoff ',b'Could not agree more!',30/5/17 7:10
37,b'Dan Rogers ',"b""The Bay Area... the tech capital of the world with the worst trains ever.. Can't wait for this fun.""",30/5/17 7:06
38,b'Tristin ',b'Can you define major delays? 15 minutes? Hours? This is a very vague unhelpful term when trying to determine how to get to work...',30/5/17 7:06
39,b'Lynn Garrett ',b'I am riding back to Richmond Bart so that I can at least sit down! This is a nightmare!!!',30/5/17 7:05
40,b'The Incredible Moppa ',"b'""Basically we are all cycling around"" ""you should basically just keep your seats"" ""the whole system is this way"" #sfbart #bartdelays'",30/5/17 7:05
41,b'Wil Schultz ',b'At least everything smells great!',30/5/17 7:05
42,b'James J. Higgins II ',b'Can you go ONE FUCKING DAY without a major delay?',30/5/17 7:04
43,b'The Incredible Moppa ',"b'@SFBART and @SFBARTalert Don\'t let your train operators update on delays without a script. Hearing ""we are going back"" 7x is not helpful.'",30/5/17 7:03
44,b'Nay ',b'@SFBARTalert what in the entire fuck??? These delayed are ridiculous',30/5/17 7:02
45,b'Andrew Lachowicz ',"b'Train should be getting the boogie on in the ""next few minutes""'",30/5/17 6:59
46,b'Mike Williams ',b'True. BART used measure RR incorrectly. They are basically lining their pockets. Too much overtime not enough work being done',30/5/17 6:58
