id,username,created_at,text
8.72415E+17,SFBARTalert,7/6/17 11:28,b'BART recovering: 10 min delay at DALY in PITT and DUBL dirs due to earlier track maintenance.'
8.72412E+17,SFBARTalert,7/6/17 11:18,b'10 min delay at DALY in PITT and DUBL dirs due to track maint.'
8.72118E+17,SFBARTalert,6/6/17 15:50,b'10 min delay at PHIL in SFO and DALY dirs due to equip prob.'
8.72104E+17,SFBARTalert,6/6/17 14:53,"b'BART recovering: 10 min delay at 12TH in SFO, MLBR and DALY dirs due to police activity.'"
8.72102E+17,SFBARTalert,6/6/17 14:44,"b'10 min delay at 12TH in SFO, MLBR and DALY dirs due to police activity.'"
8.71883E+17,SFBARTalert,6/6/17 0:13,"b'BART recovering: 10 min delay in PITT, DUBL, warm springs and RICH dirs due to equip prob.'"
8.71876E+17,SFBARTalert,5/6/17 23:47,b'BART recovering: 20 min delay on SF line in East Bay dir due to equip prob.'
8.71875E+17,SFBARTalert,5/6/17 23:43,b'20 min delay on SF line in East Bay dir due to equip prob.'
8.71872E+17,SFBARTalert,5/6/17 23:32,b'BART recovering: 10 min delay on SF line in East Bay dir due to track maint.'
8.71864E+17,SFBARTalert,5/6/17 22:58,"b'10 min delay on SF line in SFO, MLBR, DALY and East Bay dirs due to track maint.'"
8.71833E+17,SFBARTalert,5/6/17 20:55,b'BART recovering: 10 min delay at WOAK in DALY dir due to equip prob.'
8.71831E+17,SFBARTalert,5/6/17 20:48,b'10- min delay at WOAK in DALY dir due to equip prob.'
8.71755E+17,SFBARTalert,5/6/17 15:46,b'A detailed BART service advisory has been issued: https://t.co/G8ClxdpM6v'
8.71746E+17,SFBARTalert,5/6/17 15:10,"b'10 min delay at EMBR in SFO, MLBR, DALY and East Bay dirs due to an earlier equipment prob on a train and medical emergency.'"
8.71457E+17,SFBARTalert,4/6/17 20:03,"b'BART recovering: 10 min delay at FTVL in DUBL, warm springs and FRMT dirs due to police activity.'"
8.71456E+17,SFBARTalert,4/6/17 19:56,"b'10 min delay at FTVL in DUBL, warm springs and FRMT dirs due to police activity.'"
8.71416E+17,SFBARTalert,4/6/17 17:19,b'A detailed BART service advisory has been issued: https://t.co/G8ClxdpM6v'
8.71159E+17,SFBARTalert,4/6/17 0:17,b'BART recovering: 10 min delay in East Bay dirs due to an earlier medical emergency.'
8.71147E+17,SFBARTalert,3/6/17 23:29,"b'BART recovering: 20 min delay in PITT, DUBL, FRMT, RICH, SFO, MLBR and DALY dirs due to a medical emergency.'"
8.71136E+17,SFBARTalert,3/6/17 22:47,"b'BART recovering: major delay on SF line in PITT, DUBL, RICH, SFO, MLBR and DALY dirs due to a medical emergency.'"
8.71135E+17,SFBARTalert,3/6/17 22:42,"b'Major delay at 16TH on SF line in PITT, DUBL, RICH, SFO, MLBR and DALY dirs due to a medical emergency.'"
8.71133E+17,SFBARTalert,3/6/17 22:33,b'Major delay at 16TH on SF line in PITT and DUBL dirs due to a medical emergency.'
8.71132E+17,SFBARTalert,3/6/17 22:30,b'10 min delay at 16TH on SF line in PITT and DUBL dirs due to a medical emergency.'
8.7101E+17,SFBARTalert,3/6/17 14:25,b'A detailed BART service advisory has been issued: https://t.co/G8ClxdpM6v'
8.70896E+17,SFBARTalert,3/6/17 6:53,"b'BART recovering: 10 min delay on SF line in SFO, MLBR and DALY dirs due to police activity at CIVC stn.'"
8.70895E+17,SFBARTalert,3/6/17 6:48,"b'10 min delay on SF line in SFO, MLBR and DALY dirs due to police activity at CIVC stn.'"
8.70885E+17,SFBARTalert,3/6/17 6:10,b'BART recovering: major delay on FRMT line in DUBL and warm springs dirs due to equip prob.'
8.70882E+17,SFBARTalert,3/6/17 5:58,b'20 min delay on warm springs line in DUBL and warm springs dirs due to equip prob.'
8.70814E+17,SFBARTalert,3/6/17 1:28,b'BART recovering: 10 min delay between SF stns and East Bay stns in East Bay dir due to police activity.'
8.70451E+17,SFBARTalert,2/6/17 1:26,b'BART recovering: 10 min delay system wide due to an earlier equipment prob on track.'
8.70442E+17,SFBARTalert,2/6/17 0:47,b'BART recovering: major delay system wide due to equip prob.'
8.70441E+17,SFBARTalert,2/6/17 0:46,b'Major delay system wide due to equip prob.'
8.70433E+17,SFBARTalert,2/6/17 0:12,"b'BART recovering: 10 min delay on SF line in SFO, MLBR and East Bay dirs due to required track maintenance.'"
8.70433E+17,SFBARTalert,2/6/17 0:11,"b'10 min delay on SF line in SFO, MLBR and East Bay dirs due to track maint near 24th and mission.'"
8.70432E+17,SFBARTalert,2/6/17 0:09,"b'Major delay at SHAY on FRMT line in warm springs, FRMT, RICH and DALY dirs due to equip prob.'"
8.70431E+17,SFBARTalert,2/6/17 0:04,b'Major delay at SHAY on FRMT line in warm springs and FRMT dirs due to equip prob.'
8.70292E+17,SFBARTalert,1/6/17 14:54,"b'BART recovering: 10 min delay at WOAK in SFO, MLBR and DALY dirs due to police activity.'"
8.70291E+17,SFBARTalert,1/6/17 14:47,"b'10 min delay at WOAK in SFO, MLBR and DALY dirs due to police activity.'"
8.70246E+17,SFBARTalert,1/6/17 11:50,b'A detailed BART service advisory has been issued: https://t.co/G8ClxdpM6v'
8.70094E+17,SFBARTalert,1/6/17 1:46,b'10 min delay on SF line in PITT and warm springs dirs due to equip prob.'
8.70057E+17,SFBARTalert,31/5/17 23:19,b'BART recovering: 10 min delay on SF line in East Bay dirs due to equip prob.'
8.70051E+17,SFBARTalert,31/5/17 22:54,"b'BART recovering: 10 min delay on SF line in SFO, MLBR, DALY and East Bay dirs due to equip prob.'"
8.70045E+17,SFBARTalert,31/5/17 22:31,b'BART recovering: 10 min delay on SF line in SFO and East Bay dirs due to track maint.'
8.70017E+17,SFBARTalert,31/5/17 20:40,"b'BART recovering: 10 min delay at 24TH in DUBL, warm springs and RICH dirs due to an earlier obstruction on track.'"
8.70016E+17,SFBARTalert,31/5/17 20:37,b'10 min delay at 24TH in East Bay dir due to obstruction.'
8.69965E+17,SFBARTalert,31/5/17 17:13,b'BART recovering: 10 min delay at WCRK in PITT and SFO dirs due to equip prob.'
8.69946E+17,SFBARTalert,31/5/17 15:56,"b'10 min delay at WCRK in PITT, SFO and DALY dirs due to equip prob.'"
8.69714E+17,SFBARTalert,31/5/17 0:36,"b'10 min delay on FRMT line in DUBL, warm springs and FRMT dirs.'"
8.69702E+17,SFBARTalert,30/5/17 23:50,b'10 min delay on PITT line in SFO and 24TH dirs due to equip prob.'
8.69634E+17,SFBARTalert,30/5/17 19:16,"b'BART recovering: 10 min delay at SF stns in PITT, warm springs and RICH dirs due to police activity.'"
8.69603E+17,SFBARTalert,30/5/17 17:16,"b'BART recovering: 10 min delay system wide due to an earlier disabled train, and medical emergencies.'"
8.69575E+17,SFBARTalert,30/5/17 15:23,b'BART recovering: 20 min delay system wide due to an earlier disabled train.'
8.6956E+17,SFBARTalert,30/5/17 14:22,b'Major delay system wide due to an earlier disabled train between WOAK and EMBR.'
8.69553E+17,SFBARTalert,30/5/17 13:55,b'Major delay system wide due to a disabled train between WOAK and EMBR.'
8.69541E+17,SFBARTalert,30/5/17 13:07,b'10 min delay system wide due to equip prob in downtown Oak/LAKE area.'
8.69537E+17,SFBARTalert,30/5/17 12:53,b'10 min delay at LAKE in RICH and DALY dirs due to equip prob.'
8.68528E+17,SFBARTalert,27/5/17 18:03,b'BART recovering: 10 min delay at 12TH in PITT and RICH dirs due to police activity.'
8.68443E+17,SFBARTalert,27/5/17 12:27,b'A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX'
8.68337E+17,SFBARTalert,27/5/17 5:26,"b'BART recovering: 15 min delay on SFO line in SFO, MLBR, SF and East Bay dirs due to police activity.'"
8.68335E+17,SFBARTalert,27/5/17 5:18,"b'10 min delay on SFO line in SFO, MLBR, SF and East Bay dirs due to police activity.'"
8.68306E+17,SFBARTalert,27/5/17 3:21,b'BART recovering: 15 min delay at COLM in SFO and MLBR dirs due to police activity.'
8.68305E+17,SFBARTalert,27/5/17 3:18,b'10 min delay at COLM in SFO and MLBR dirs due to police activity.'
8.68183E+17,SFBARTalert,26/5/17 19:14,b'BART recovering: 10 min delay at EMBR in SF and East Bay dirs due to equip prob.'
8.68176E+17,SFBARTalert,26/5/17 18:44,b'10 min delay at EMBR in SF and East Bay dirs due to equip prob.'
8.68163E+17,SFBARTalert,26/5/17 17:54,b'BART recovering: 10 min delay at FTVL in RICH and DALY dirs due to police activity.'
8.68163E+17,SFBARTalert,26/5/17 17:52,b'10 min delay at FTVL in RICH and DALY dirs due to police activity.'
8.6809E+17,SFBARTalert,26/5/17 13:03,b'BART recovering: 20 min delay at DALY in SF and East Bay dirs due to a medical emergency.'
